area_type,availability,location,size,hall_present,bath,balcony,total_sqft,price
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,2,1240,42.04
Super built-up  Area,Ready To Move,Yelahanka,2,1,2,1,1076,78
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,2,1,2,3,1320,90
Super built-up  Area,19-Mar,Whitefield,2,1,2,1,1216,80
Super built-up  Area,Ready To Move,Thanisandra,2,1,2,2,1100,42
Super built-up  Area,19-Mar,Thanisandra,2,1,2,1,1183,77.3
Super built-up  Area,20-Jan,Balagere,1,1,1,1,656,38.77
Super built-up  Area,19-Dec,Sarjapur  Road,1,1,1,1,534,19.65
Super built-up  Area,Ready To Move,Shikaripalya,3,1,2,2,1285,45
Super built-up  Area,Ready To Move,Hegde Nagar,3,1,4,2,2087.01,135
Built-up  Area,18-Dec,"Off Sarjapur Road, ",2,1,2,1,1161,59
Built-up  Area,Ready To Move,Begur,2,1,2,3,1306,65
Super built-up  Area,22-May,Jakkur,4,1,4,2,2249.81,245
Built-up  Area,Ready To Move,Tata Nagar,3,1,3,2,1504,67
Super built-up  Area,18-May,Balagere,1,1,1,1,645,39
Plot  Area,Ready To Move,Esther Enclave Layout,2,1,2,0,1230,68
Built-up  Area,Ready To Move,Hebbal,2,1,2,2,1100,42
Super built-up  Area,Ready To Move,Yelahanka,1,1,1,0,1000,14
Super built-up  Area,18-Jun,Sadaramangala,2,1,2,1,1260,62
Built-up  Area,Ready To Move,Ambalipura,3,1,3,3,1817,102
Super built-up  Area,19-Jan,Kodihalli,4,1,5,3,3626,785
Super built-up  Area,18-Apr,Basavangudi,2,1,2,3,1180,124
Built-up  Area,Ready To Move,KR Puram,2,1,2,2,1050,55
Plot  Area,Ready To Move,Whitefield,4,1,4,3,2900,225
Built-up  Area,Ready To Move,Kasavanhalli,3,1,4,3,2110,120
Built-up  Area,Ready To Move,Mysore Road,1,1,1,1,500,17.5
Super built-up  Area,Ready To Move,Murugeshpalya,3,1,3,3,1930,75
Plot  Area,Ready To Move,Harappanahalli,4,1,5,2,4560,430
Super built-up  Area,Ready To Move,Mahadevpura,3,1,3,2,1505,64
Plot  Area,Ready To Move,Jayamahal,4,1,3,1,2400,750
Super built-up  Area,Ready To Move,Ananth Nagar,2,1,2,1,890,27
Plot  Area,19-Jan,Anekal,2,1,1,1,1200,36
Super built-up  Area,18-Dec,Gunjur Palya,2,1,2,2,849,25.4
Plot  Area,Ready To Move,Chikka Tirupathi,3,1,3,1,1555,100
Plot  Area,Ready To Move,8th block Koramangala,3,1,2,1,600,85
Carpet  Area,Ready To Move,KR Puram,2,1,2,2,1057,30
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,1,3,2,1680,122
Built-up  Area,Ready To Move,Samethanahalli,2,1,2,1,799,35
Built-up  Area,Ready To Move,Sarjapur  Road,3,1,2,1,1450,75
Super built-up  Area,18-Dec,Sarjapur  Road,3,1,3,2,1819,100
Super built-up  Area,Ready To Move,Kanakpura Road,2,1,2,1,1135,56.74
Super built-up  Area,Ready To Move,HSR Layout,3,1,3,2,2020,160
Super built-up  Area,Ready To Move,Vinayaka Layout,5,1,4,2,2700,170
Super built-up  Area,18-Jan,Hosa Road,3,1,3,2,1730,72.6
Built-up  Area,Ready To Move,Dasarahalli,3,1,3,2,1950,125
Super built-up  Area,Ready To Move,Thirumalashettyhally,2,1,2,1,1077,34.46
Super built-up  Area,Ready To Move,Brookefield,3,1,3,2,1706,115
Built-up  Area,Ready To Move,New Gurappana Palya,5,1,4,0,3000,300
Super built-up  Area,Ready To Move,Channasandra,2,1,2,1,1093,37
Super built-up  Area,Ready To Move,Ambalipura,4,1,4,2,2750,142
Super built-up  Area,18-Feb,Whitefield,2,1,2,1,1340,101
Super built-up  Area,18-Nov,Sarjapur  Road,2,1,2,1,984,59
Super built-up  Area,Ready To Move,AECS Layout,2,1,2,2,1135,68
Plot  Area,18-Dec,Bannerghatta Road,4,1,4,1,2400,344
Super built-up  Area,Ready To Move,Varthur,2,1,2,2,1155,39
Super built-up  Area,Ready To Move,Kaggalipura,1,1,1,0,700,35
Super built-up  Area,Ready To Move,Horamavu Agara,2,1,2,1,1150,42
Super built-up  Area,Ready To Move,Hormavu,3,1,2,1,1385,69.25
Super built-up  Area,Ready To Move,Akshaya Nagar,3,1,4,2,2061,175
Super built-up  Area,Ready To Move,Kathriguppe,3,1,2,3,1335,73.43
Super built-up  Area,Ready To Move,Bellandur,2,1,2,1,1015,60
Built-up  Area,Ready To Move,Banashankari Stage III,6,1,6,2,3000,150
Super built-up  Area,Ready To Move,Electronic City,2,1,2,1,1108,63
Super built-up  Area,Ready To Move,Frazer Town,2,1,2,1,1180,105
Super built-up  Area,18-Sep,Hennur Road,3,1,2,1,1445,83
Super built-up  Area,Ready To Move,Vasanthapura,2,1,2,2,1500,65
Plot  Area,Ready To Move,Ramamurthy Nagar,1,1,1,1,2400.35,48
Super built-up  Area,18-Jun,KR Puram,2,1,2,1,1085,46.5
Super built-up  Area,Ready To Move,Rachenahalli,2,1,2,2,1050,52.08
Plot  Area,Ready To Move,Kadugodi,4,1,4,2,2760,290
Built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,1,2,1,1330,49
Plot  Area,18-May,Ramagondanahalli,2,1,2,1,845,45.82
Super built-up  Area,18-Mar,Kadugodi,3,1,3,3,1762,112
Super built-up  Area,Ready To Move,Ambalipura,2,1,2,2,1303,80
Super built-up  Area,Ready To Move,Banagiri Nagar,3,1,2,2,1560,125
Super built-up  Area,19-Jan,Chandapura,3,1,2,2,1110,29.97
Super built-up  Area,18-May,Doddabanahalli,3,1,3,2,1290,45.33
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1,2,0,1237.5,49.49
Super built-up  Area,18-Mar,9th Phase JP Nagar,3,1,3,2,1780,88
Super built-up  Area,Ready To Move,Budigere,3,1,3,2,1636,83
Built-up  Area,18-May,Hennur,4,1,5,2,2557,170
Built-up  Area,Ready To Move,Sector 2 HSR Layout,2,1,2,2,1332,101
Super built-up  Area,Ready To Move,Sadashiva Nagar,5,1,5,2,7500,1500
Built-up  Area,Ready To Move,Kodbisanhalli,2,1,2,2,1012,59
Super built-up  Area,Ready To Move,Kengeri,2,1,2,2,1192,53.5
Super built-up  Area,Ready To Move,Abbigere,2,1,2,1,795,32.54
Super built-up  Area,Ready To Move,Uttarahalli,2,1,2,2,1213,48
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1,3,2,1489,88
Super built-up  Area,Ready To Move,Sarjapur,2,1,2,2,1200,62
Super built-up  Area,18-Jul,Electronic City Phase II,2,1,2,2,1140,28.5
Super built-up  Area,18-Apr,Devanahalli,3,1,2,1,1200,55.08
Super built-up  Area,18-Aug,Ananth Nagar,2,1,2,1,1200,36
Plot  Area,Ready To Move,Vidyaranyapura,5,1,6,1,2640,225
Super built-up  Area,Ready To Move,Bannerghatta Road,3,1,3,1,1650,94
Plot  Area,Ready To Move,Bharathnagar,2,1,2,1,1245,120
Super built-up  Area,Ready To Move,Ardendale,2,1,2,2,1224,67
Super built-up  Area,18-Aug,Gunjur,2,1,2,2,1235,52.76
Super built-up  Area,Ready To Move,Yelenahalli,2,1,2,2,1200,45.6
Built-up  Area,Ready To Move,Yelahanka,3,1,2,2,1342,75
Plot  Area,Ready To Move,9th Phase JP Nagar,3,1,3,2,600,79
Built-up  Area,Ready To Move,TC Palaya,2,1,2,2,1800,80
Plot  Area,Ready To Move,HAL 2nd Stage,4,1,4,2,2280,615
Plot  Area,Ready To Move,Rajaji Nagar,4,1,2,0,2440,415
Super built-up  Area,Ready To Move,Abbigere,2,1,2,1,1130,46.33
Built-up  Area,Ready To Move,Somasundara Palya,2,1,2,3,1186,72
Super built-up  Area,Ready To Move,Hennur,2,1,2,1,1295,64
Super built-up  Area,Ready To Move,Kudlu Gate,3,1,3,2,1535,85
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1,2,1,905,65
Super built-up  Area,18-Jul,Bhoganhalli,2,1,2,1,1447,75.97
Super built-up  Area,Ready To Move,Hormavu,2,1,2,1,1165,40
Super built-up  Area,19-Jul,Kanakpura Road,2,1,2,2,1328,107
Super built-up  Area,Ready To Move,Gandhi Bazar,3,1,2,3,1485,110
Super built-up  Area,Ready To Move,Uttarahalli,3,1,2,3,1475,59
Super built-up  Area,Ready To Move,Vidyaranyapura,2,1,2,2,1175,35
Super built-up  Area,Ready To Move,Thigalarapalya,2,1,2,2,1245,100
Plot  Area,Ready To Move,Vishwanatha Nagenahalli,4,1,4,1,720,95
Super built-up  Area,20-Nov,Rachenahalli,2,1,2,1,985,49.97
Plot  Area,Ready To Move,Koramangala,5,1,5,0,4000,800
Super built-up  Area,Ready To Move,Hoskote,3,1,2,2,1395,63
Super built-up  Area,21-Dec,Hoodi,1,1,1,0,711,42.65
Super built-up  Area,18-Apr,Electronic City,1,1,1,1,630,40.5
Super built-up  Area,Ready To Move,MS Pallya,4,1,4,1,2400,88
Super built-up  Area,Ready To Move,Gottigere,2,1,2,2,1170,40
Super built-up  Area,Ready To Move,Marathahalli,4,1,5,2,2500,181
Super built-up  Area,Ready To Move,Gubbalala,2,1,2,2,1100,49.5
Super built-up  Area,18-Mar,Hulimavu,4,1,5,3,3560,318
Plot  Area,Ready To Move,Margondanahalli,2,1,2,0,900,55
Built-up  Area,18-Dec,Bommasandra Industrial Area,2,1,2,1,1160,33.51
Super built-up  Area,18-Jan,Varthur,2,1,2,2,1180,55
Super built-up  Area,21-Jan,Tumkur Road,3,1,2,1,1441,95
Super built-up  Area,Ready To Move,Channasandra Layout,2,1,2,1,1115,50
Super built-up  Area,Ready To Move,Yeshwanthpur,3,1,3,2,1825,145
Carpet  Area,Ready To Move,Challaghatta,2,1,2,0,1489,101
Super built-up  Area,Ready To Move,Defence Colony,4,1,4,3,2800,365
Super built-up  Area,Ready To Move,Subramanyapura,3,1,3,2,1278,62.71
Super built-up  Area,Ready To Move,Subramanyapura,3,1,2,2,1223,42.81
Super built-up  Area,Ready To Move,Hormavu,2,1,2,1,1065,50.92
Super built-up  Area,Ready To Move,Whitefield,2,1,2,1,1190,64
Super built-up  Area,22-Jun,Koramangala,2,1,2,2,1130,63
Super built-up  Area,18-Apr,Banashankari,2,1,2,2,1430,87.8
Built-up  Area,Ready To Move,HRBR Layout,4,1,3,1,1900,90
Super built-up  Area,Ready To Move,Sarjapur  Road,2,1,2,1,1104,34.22
Super built-up  Area,Ready To Move,Begur Road,2,1,2,2,1240,45.88
Built-up  Area,Ready To Move,Choodasandra,2,1,2,2,1140,62
Super built-up  Area,Ready To Move,Haralur Road,2,1,2,2,1194,47
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,1,3,2,1464,56
Super built-up  Area,Ready To Move,Sarjapur,4,1,6,2,3508,425
Super built-up  Area,Ready To Move,KR Puram,3,1,3,3,1700,105
Super built-up  Area,18-Dec,Old Airport Road,4,1,5,3,2658,189
Super built-up  Area,Ready To Move,Canara Bank Colony,3,1,2,1,1600,90
Super built-up  Area,Ready To Move,OMBR Layout,4,1,4,2,3400,275
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,3,1,3,1,1508,75
Built-up  Area,18-Jan,Balagere,1,1,1,1,645,41
Super built-up  Area,Ready To Move,Hormavu,2,1,2,1,1046,60
Plot  Area,Ready To Move,Munnekollal,10,1,8,3,1200,230
Built-up  Area,Ready To Move,5th Block Jayanagar,1,1,1,1,1500,300
Built-up  Area,Ready To Move,Mahalakshmi Puram,6,1,6,3,3000,300
Super built-up  Area,18-May,Hosa Road,2,1,2,1,1079,32.37
Super built-up  Area,Ready To Move,Thubarahalli,2,1,2,1,975,50
Built-up  Area,Ready To Move,ISRO Layout,2,1,2,1,1050,51
Plot  Area,Ready To Move,HSR Layout,9,1,9,0,1200,350
Super built-up  Area,Ready To Move,"Jayanagar, ",3,1,3,2,1903,165
Built-up  Area,Ready To Move,Bommenahalli,3,1,3,1,26460,232
Super built-up  Area,Ready To Move,Asthagrama Layout,2,1,2,2,1200,38
Super built-up  Area,Ready To Move,Avalahalli,4,1,4,3,2996,200
Built-up  Area,Ready To Move,Manayata Tech Park,4,1,4,2,3400,200
Plot  Area,Ready To Move,Whitefield,4,1,4,1,2000,312
Plot  Area,Ready To Move,Jigani,4,1,4,1,1453,160
Super built-up  Area,Ready To Move,Parappana Agrahara,2,1,2,2,1092,43
Super built-up  Area,Ready To Move,Hormavu,2,1,2,0,1400,75
Super built-up  Area,Ready To Move,Bommanahalli,3,1,2,1,1416,85
Built-up  Area,Ready To Move,ITI Layout,3,1,2,1,1602,75
Super built-up  Area,Ready To Move,Electronic City,2,1,2,1,1100,41
Super built-up  Area,Ready To Move,Kothanur,3,1,3,2,1760,110
Super built-up  Area,Ready To Move,Marathahalli,4,1,4,3,3800,235
Super built-up  Area,Ready To Move,Vasanthapura,2,1,2,1,1037,36.28
Super built-up  Area,Ready To Move,Yeshwanthpur,3,1,2,2,1384,76.18
Super built-up  Area,22-Jan,Vajarahalli,1,1,1,1,551,30
Plot  Area,Ready To Move,Indira Nagar,4,1,5,2,2400,1250
Plot  Area,Ready To Move,7th Phase JP Nagar,1,1,1,0,500,70
Super built-up  Area,18-Apr,Sarjapur,2,1,2,2,900,27.98
Plot  Area,Ready To Move,Anandapura,3,1,2,1,1415,74
Super built-up  Area,18-Mar,Rajarajesheari nagar,2,1,2,1,1400,44.8
Plot  Area,Ready To Move,Devara Jeevanahalli,7,1,4,1,1300,52
Built-up  Area,Ready To Move,Millers Road,3,1,4,3,2850,460
Built-up  Area,Ready To Move,Kudlu,2,1,2,2,1030,75
Built-up  Area,Ready To Move,Kambipura,2,1,2,1,883,39
Super built-up  Area,Ready To Move,Celebrity Paradise Layout,1,1,1,1,550,16
Super built-up  Area,Ready To Move,Anjanapura,4,1,4,2,1800,55
Plot  Area,Ready To Move,Yemlur,5,1,5,2,10000,1950
Super built-up  Area,Ready To Move,Old Madras Road,2,1,2,1,1210,77
Plot  Area,Ready To Move,Vishveshwarya Layout,4,1,3,0,2000,90
Super built-up  Area,21-Oct,Kanakpura Road,3,1,3,1,1100,58
Super built-up  Area,Ready To Move,Lavakusha Nagar,3,1,3,1,1780,100
Plot  Area,Ready To Move,2nd Block Hbr Layout,5,1,5,2,950,55
Built-up  Area,Ready To Move,Panathur,2,1,2,2,1050,60
Super built-up  Area,Ready To Move,Hosur Road,3,1,3,3,1370,38.36
Super built-up  Area,Ready To Move,Marathahalli,4,1,4,3,3951,230
Super built-up  Area,Ready To Move,Bellandur,3,1,4,2,2500,112
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2,1,2,1,1050,49.5
Super built-up  Area,Ready To Move,Anjanapura,3,1,3,1,1843,87.54
Plot  Area,Ready To Move,3rd Block Banashankari,4,1,4,1,1200,175
Super built-up  Area,Ready To Move,Somasundara Palya,2,1,2,1,1186,76
Super built-up  Area,18-Aug,Haralur Road,1,1,1,1,560,45
Super built-up  Area,Ready To Move,Narayanapura,3,1,3,2,2357,135
Plot  Area,Ready To Move,Mahalakshmi Layout,4,1,3,1,1200,160
Super built-up  Area,20-Jan,Yelahanka,3,1,3,2,1823,103
Built-up  Area,Ready To Move,Rajasree Layout,3,1,3,3,1310,90
Super built-up  Area,Ready To Move,Varthur,3,1,2,2,1520,60
Super built-up  Area,18-Jul,Bhoganhalli,3,1,3,1,1610,74.03
Plot  Area,18-Aug,Whitefield,3,1,3,1,1500,78.57
Super built-up  Area,Ready To Move,LB Shastri Nagar,3,1,2,2,1400,80
Super built-up  Area,Ready To Move,HRBR Layout,3,1,3,2,1625,120
Plot  Area,Ready To Move,Chikkalasandra,5,1,5,3,1500,265
Built-up  Area,Ready To Move,Hessarghatta,2,1,2,1,900,24
Built-up  Area,Ready To Move,Talaghattapura,2,1,2,0,1100,32
Super built-up  Area,Ready To Move,Bannerghatta Road,2,1,2,1,1000,50
Super built-up  Area,18-Dec,Old Airport Road,4,1,4,3,2774,197
Super built-up  Area,Ready To Move,Yeshwanthpur,1,1,2,0,994,54.67
Super built-up  Area,Ready To Move,Kaggadasapura,3,1,3,3,1455,75
Plot  Area,Ready To Move,Chandapura,5,1,3,1,1200,79
Built-up  Area,Ready To Move,Lakshminarayana Pura,2,1,2,1,1172,75
Super built-up  Area,Ready To Move,Hennur,3,1,3,2,1935,102
Super built-up  Area,Ready To Move,Rachenahalli,3,1,3,3,1856,106
Super built-up  Area,Ready To Move,Old Airport Road,3,1,3,2,2392,249
Super built-up  Area,Ready To Move,Uttarahalli,2,1,2,2,900,35
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1,3,3,1757,98
Super built-up  Area,Ready To Move,Kudlu,2,1,2,2,1027,44
Super built-up  Area,Ready To Move,Whitefield,3,1,3,3,1626,85
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,2,1,2,1,1200,54
Super built-up  Area,19-Dec,Hoodi,3,1,3,1,1559,81.55
Super built-up  Area,Ready To Move,Amruthahalli,2,1,2,2,1190,50
Super built-up  Area,Ready To Move,KR Puram,2,1,2,1,1200,72
Super built-up  Area,Ready To Move,Harlur,2,1,2,1,1174,74
Built-up  Area,Ready To Move,Kanakpura Road,2,1,2,1,1140,65
Built-up  Area,Ready To Move,Vibuthipura,3,1,2,0,1603,125
Super built-up  Area,Ready To Move,Subramanyapura,3,1,3,2,1278,70
Super built-up  Area,Ready To Move,Krishna Reddy Layout,3,1,3,2,2180,285
Super built-up  Area,Ready To Move,Banashankari Stage III,2,1,2,1,1085,50
Super built-up  Area,19-Jun,Whitefield,2,1,2,1,1195,61.36
Plot  Area,Ready To Move,Kamakshipalya,1,1,1,0,450,30
Super built-up  Area,19-Jan,Rajaji Nagar,4,1,5,2,6500,1400
Super built-up  Area,Ready To Move,Attibele,1,1,1,1,550,11.5
Super built-up  Area,Ready To Move,Kenchenahalli,2,1,2,2,1165,45
Super built-up  Area,Ready To Move,1st Stage Indira Nagar,4,1,4,2,3000,301
Super built-up  Area,Ready To Move,Kanakpura Road,3,1,3,3,1452,60
Super built-up  Area,18-Jan,Sarjapur  Road,1,1,1,1,702,52
Super built-up  Area,Ready To Move,Banashankari,2,1,2,1,1020,42.83
Super built-up  Area,18-May,Devanahalli,2,1,2,1,1340,65
Super built-up  Area,18-Apr,Marathahalli,2,1,2,1,1125,54.8
Super built-up  Area,Ready To Move,JCR Layout,2,1,2,1,1160,40.53
Built-up  Area,Ready To Move,Vidyaranyapura,2,1,2,1,1050,50
Super built-up  Area,19-Dec,JP Nagar,3,1,3,1,1960,138
Built-up  Area,Ready To Move,Ganga Nagar,2,1,3,2,1200,52
Plot  Area,Ready To Move,Judicial Layout,3,1,4,1,1200,220
Super built-up  Area,18-Dec,Old Airport Road,4,1,4,2,3496,262
Super built-up  Area,Ready To Move,Electronic City,2,1,2,1,975,32
Super built-up  Area,Ready To Move,Kudlu,3,1,3,3,1700,125
Built-up  Area,Ready To Move,8th Phase JP Nagar,4,1,4,0,1800,230
Plot  Area,Ready To Move,Madavara,4,1,3,0,612,47
Built-up  Area,Ready To Move,Brooke Bond First Cross,2,1,2,3,1275,69
Built-up  Area,Ready To Move,Yeshwanthpur,1,1,1,0,650,40
Super built-up  Area,Ready To Move,Kasavanhalli,2,1,2,2,1495,110
Super built-up  Area,Ready To Move,Hebbal,2,1,2,2,1200,48
Plot  Area,Ready To Move,Sarjapura - Attibele Road,5,1,6,2,3750,295
Super built-up  Area,19-Mar,Hennur Road,3,1,3,2,1679,94.86
Super built-up  Area,Ready To Move,Kaval Byrasandra,3,1,3,2,1450,75
Super built-up  Area,18-Nov,Balagere,2,1,2,1,1210,82
Super built-up  Area,18-May,Dwaraka Nagar,3,1,2,1,1300,51
Super built-up  Area,Ready To Move,Judicial Layout,2,1,2,1,1165,49.61
Super built-up  Area,Ready To Move,Keshava Nagar,3,1,3,3,1623,155
Super built-up  Area,Ready To Move,Channasandra,2,1,2,1,1115,35.8
Super built-up  Area,Ready To Move,BTM Layout,1,1,1,1,450,20
Super built-up  Area,18-Apr,Electronics City Phase 1,2,1,2,1,1170,62
Built-up  Area,Ready To Move,KR Puram,4,1,4,0,2065,248
Built-up  Area,Ready To Move,Marathahalli,3,1,3,2,1700,126
Plot  Area,Ready To Move,Uttarahalli,6,1,5,2,1080,160
Super built-up  Area,Ready To Move,Malleshpalya,2,1,2,1,1245,55
Built-up  Area,19-Dec,Kanakapura,2,1,2,1,1017,66
Plot  Area,Ready To Move,7th Phase JP Nagar,6,1,6,2,650,80
Super built-up  Area,18-Mar,Sarjapur  Road,2,1,2,1,1242,75
Super built-up  Area,18-Mar,Yelahanka,3,1,3,1,1792,104
Super built-up  Area,18-Aug,Garebhavipalya,3,1,3,2,1275,55
Plot  Area,Ready To Move,8th Phase JP Nagar,6,1,6,1,1200,260
Plot  Area,Ready To Move,7th Block Jayanagar,3,1,3,0,2400,408
Super built-up  Area,Ready To Move,Electronic City,1,1,1,1,605,22
Plot  Area,Ready To Move,HBR Layout,4,1,4,2,1200,115
Super built-up  Area,18-Dec,Electronics City Phase 1,3,1,3,2,1450,79
Plot  Area,Ready To Move,Bommenahalli,3,1,3,1,1232,96
Plot  Area,Ready To Move,Laggere,5,1,5,0,1800,70
Built-up  Area,Ready To Move,Sidedahalli,1,1,1,1,900,52.3
Super built-up  Area,Ready To Move,Kaggadasapura,2,1,2,2,1200,40
Super built-up  Area,Ready To Move,Kadugodi,4,1,3,2,2100,204
Super built-up  Area,18-Aug,Uttarahalli,2,1,2,1,1065,42.6
Super built-up  Area,Ready To Move,AGS Layout,2,1,2,1,1075,48.38
Plot  Area,Ready To Move,Anand Nagar,6,1,5,2,1508,240
Super built-up  Area,Ready To Move,Lake City,2,1,2,1,780,31
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,1,2,1,1070,42.79
Super built-up  Area,Ready To Move,Haralur Road,3,1,3,2,1464,56
Super built-up  Area,18-Oct,Ramagondanahalli,3,1,3,2,1910,150
Built-up  Area,Ready To Move,Cox Town,2,1,2,1,1280,120
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1,3,2,1530,64
Built-up  Area,Ready To Move,Bhoganhalli,4,1,5,2,2439,170
Super built-up  Area,Ready To Move,Varsova Layout,2,1,2,2,1088,43.5
Super built-up  Area,Ready To Move,Harlur,2,1,2,1,1174,78
Super built-up  Area,18-Dec,Raja Rajeshwari Nagar,3,1,3,1,1587,73.8
Built-up  Area,Ready To Move,Kaggadasapura,2,1,2,2,1045,55
Super built-up  Area,Ready To Move,Yelahanka,2,1,2,1,1304,69.97
Super built-up  Area,Ready To Move,Whitefield,2,1,2,2,1100,65
Super built-up  Area,18-May,Hennur Road,3,1,2,1,1482,68.9
Built-up  Area,18-Mar,Devanahalli,3,1,3,1,2125,107
Super built-up  Area,Ready To Move,Varthur,5,1,4,0,1000,65
Super built-up  Area,Ready To Move,Parappana Agrahara,2,1,2,2,1194,45
Super built-up  Area,Ready To Move,Kengeri,2,1,2,3,1200,42
Super built-up  Area,Ready To Move,Volagerekallahalli,2,1,2,2,1070,32.99
Super built-up  Area,Ready To Move,Whitefield,2,1,2,1,1100,46.5
Built-up  Area,Ready To Move,Whitefield,3,1,2,2,1270,65
Super built-up  Area,Ready To Move,Marasandra,2,1,2,1,1000,31
Super built-up  Area,Ready To Move,Vittasandra,2,1,2,1,1246,69
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,1,3,3,1529,51.77
Super built-up  Area,Ready To Move,Thanisandra,2,1,2,2,1185,42
Super built-up  Area,Ready To Move,Gubbalala,2,1,2,1,1060,46
Super built-up  Area,Ready To Move,Ananth Nagar,3,1,3,1,1319,37.75
Super built-up  Area,Ready To Move,Kaikondrahalli,2,1,2,0,991,64
Super built-up  Area,Ready To Move,Thanisandra,1,1,1,0,662,38
Built-up  Area,Ready To Move,Nandini Layout,2,1,2,1,1200,110
Plot  Area,18-Apr,tc.palya,3,1,2,1,1400,78
Super built-up  Area,Ready To Move,Talaghattapura,3,1,3,2,1575,80
Plot  Area,Ready To Move,Hosakerehalli,2,1,2,0,600,65
Plot  Area,Ready To Move,Electronic City,5,1,5,1,717,78
Super built-up  Area,Ready To Move,Ananth Nagar,3,1,3,1,1319,42
Plot  Area,Ready To Move,Brookefield,3,1,3,2,2000,300
Plot  Area,Ready To Move,9th Phase JP Nagar,3,1,3,2,600,85
Super built-up  Area,Ready To Move,Electronics City Phase 1,2,1,2,1,940,48
Built-up  Area,Ready To Move,Singasandra,1,1,1,0,600,45
Super built-up  Area,18-Sep,Chandapura,2,1,2,1,985,25.12
Plot  Area,Ready To Move,Kodigehalli,2,1,1,0,500,55
Super built-up  Area,Ready To Move,Bharathi Nagar,2,1,2,2,1349,56.7
Built-up  Area,18-Jun,Whitefield,3,1,3,2,3117,261
Super built-up  Area,Ready To Move,HSR Layout,3,1,3,3,1844,95
Super built-up  Area,Ready To Move,Thigalarapalya,3,1,4,2,1830,150
Super built-up  Area,Ready To Move,Sarjapur  Road,3,1,4,2,2275,185
Super built-up  Area,18-Jul,Bannerghatta,4,1,5,2,2895.5,246
Super built-up  Area,18-Aug,Varthur Road,2,1,2,2,1140,49.11
Plot  Area,Ready To Move,Banjara Layout,3,1,3,1,900,79
Super built-up  Area,Ready To Move,Jaya Mahal layout,3,1,3,3,2648,238
Plot  Area,Ready To Move,Judicial Layout,5,1,4,2,5400,700
Super built-up  Area,Ready To Move,Banashankari,3,1,2,2,1372,48.02
Built-up  Area,Ready To Move,Sanne Amanikere,3,1,2,1,1455,45
Super built-up  Area,Ready To Move,Hebbal,2,1,2,2,1100,38
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,1,2,1,1295,55.47
Super built-up  Area,22-Jan,Vajarahalli,3,1,3,1,1475,80
Super built-up  Area,18-Apr,Nagavarapalya,3,1,3,1,1788,164
Super built-up  Area,Ready To Move,Haralur Road,2,1,2,1,1243,46
Super built-up  Area,Ready To Move,Yeshwanthpur,3,1,3,3,1855,140
Super built-up  Area,18-Aug,Kudlu Gate,3,1,3,2,1850,120
Super built-up  Area,Ready To Move,Marathahalli,3,1,2,2,1315,60
Super built-up  Area,18-May,Whitefield,2,1,2,1,1216,73
Super built-up  Area,Ready To Move,Brooke Bond First Cross,3,1,3,2,1721,93
Super built-up  Area,17-Nov,Sonnenahalli,2,1,2,1,1059,62
Built-up  Area,Ready To Move,Kadubeesanahalli,2,1,2,1,1184,55
Plot  Area,Ready To Move,Yelahanka,7,1,5,2,1400,175
Super built-up  Area,Ready To Move,Koramangala,3,1,3,2,2223,300
Built-up  Area,Ready To Move,Kodbisanhalli,3,1,3,2,1480,75
Super built-up  Area,Ready To Move,Kodigehalli,2,1,1,1,635,28
Plot  Area,Ready To Move,BEML Layout,2,1,2,1,2400,228
Built-up  Area,Ready To Move,JP Nagar,4,1,2,0,1500,87
Super built-up  Area,18-May,Hosa Road,2,1,2,1,1143,34.2
Plot  Area,Ready To Move,Sarjapur  Road,4,1,4,1,3200,350
Plot  Area,20-Jul,Kanakpura Road,4,1,4,3,3170,250
Built-up  Area,Ready To Move,Vaishnavi Layout,4,1,4,3,4800,420
Super built-up  Area,Ready To Move,Kothannur,3,1,2,2,1485,59.4
Super built-up  Area,Ready To Move,Rajaji Nagar,3,1,3,2,1640,251
Super built-up  Area,Ready To Move,Hennur,3,1,2,1,1655,70.5
Super built-up  Area,22-Jun,2nd Phase Judicial Layout,2,1,2,2,900,41
Super built-up  Area,Ready To Move,Somasundara Palya,3,1,3,3,1600,69
Built-up  Area,Ready To Move,Neelamangala,2,1,2,2,1163,68
Carpet  Area,Ready To Move,Yelahanka New Town,1,1,2,1,485.02,18
Super built-up  Area,Ready To Move,Hennur Road,3,1,3,2,1654,97.8
